报名者编号,城市,性别,相关经验,报名大学,教育水平,主修学科,经验年限,公司规模,公司类型,最近一次新工作,培训时长,是否通过
20285,福州县,男,有相关经验,全日制,本科,历史学,8,50-99,融资创业公司,3,306,否
91642,健县,女,有相关经验,全日制,高中,文学,18,<10,融资创业公司,3,186,否
74440,淑华市,,无相关经验,非全日制,硕士,无主修,7,50-99,融资创业公司,3,44,否
98514,石家庄县,,有相关经验,无,本科,文学,15,100-500,其他,2,118,否
93818,永安县,男,无相关经验,无,专科,哲学,3,100-500,公共部门,1,260,否
26768,柳州市,,无相关经验,全日制,硕士,管理学,3,50-99,私营公司,从未,287,否
6954,郑州县,,无相关经验,非全日制,硕士,管理学,8,100-500,私营公司,1,291,否
46072,天津市,,无相关经验,全日制,专科,无主修,7,50-99,公共部门,从未,306,否
17270,琳市,男,无相关经验,非全日制,高中,教育学,20,50-99,公共部门,3,114,否
89835,武汉县,男,有相关经验,非全日制,硕士,工程学,12,<10,公共部门,从未,147,是
49519,六安县,,无相关经验,无,本科,医学,2,<10,早期创业公司,2,4,否
12677,彬市,,无相关经验,全日制,专科,医学,11,50-99,私营公司,从未,177,否
37279,永安市,男,无相关经验,无,高中,其他,6,10-49,非政府组织,>4,311,否
63818,香港县,女,无相关经验,全日制,硕士,无主修,9,<10,私营公司,>4,85,否
65716,荆门市,女,无相关经验,无,硕士,工程学,<1,<10,其他,4,57,否
8832,广州县,男,无相关经验,非全日制,高中,经济学,9,<10,私营公司,1,115,否
26534,太原县,男,无相关经验,无,专科,文学,>20,10-49,非政府组织,4,198,否
9203,汕尾市,女,有相关经验,非全日制,硕士,艺术学,13,10-49,非政府组织,从未,233,否
21662,平县,男,无相关经验,非全日制,硕士,经济学,7,10-49,融资创业公司,2,319,否
82325,静市,女,无相关经验,非全日制,硕士,医学,1,100-500,公共部门,1,285,否
3207,雪梅县,男,无相关经验,无,本科,工程学,7,<10,非政府组织,1,316,否
53847,超县,,无相关经验,全日制,专科,艺术学,12,100-500,融资创业公司,>4,268,否
77807,云市,,无相关经验,全日制,硕士,管理学,15,<10,融资创业公司,>4,5,否
