报名者编号,城市,性别,相关经验,报名大学,教育水平,主修学科,经验年限,公司规模,公司类型,最近一次新工作,培训时长
92663,宜都县,女,有相关经验,全日制,专科,医学,7,50-99,早期创业公司,4,164
94010,阜新市,其他,有相关经验,全日制,专科,经济学,4,10000+,早期创业公司,>4,149
40584,太原县,男,有相关经验,非全日制,高中,医学,<1,100-500,早期创业公司,>4,108
95485,南宁县,其他,无相关经验,无,本科,医学,13,5000-9999,私营公司,从未,63
12757,潮州县,男,有相关经验,非全日制,硕士,艺术学,9,10-49,公共部门,2,121
60540,张家港县,女,有相关经验,无,博士,经济学,14,10-49,融资创业公司,从未,261
68096,敏县,男,无相关经验,全日制,专科,工程学,7,1000-4999,公共部门,>4,277
66835,张家港市,男,有相关经验,无,硕士,无主修,20,50-99,其他,1,125
2217,兵县,其他,有相关经验,无,高中,经济学,3,5000-9999,非政府组织,2,131
69352,兴安盟市,其他,无相关经验,无,博士,教育学,5,500-999,早期创业公司,3,310
94950,哈尔滨市,男,有相关经验,全日制,本科,无主修,12,10000+,非政府组织,从未,69
39294,荆门县,女,无相关经验,全日制,本科,文学,7,<10,融资创业公司,3,34
42652,福州市,女,无相关经验,全日制,硕士,历史学,<1,5000-9999,早期创业公司,1,107
28649,利县,男,有相关经验,无,硕士,理学,14,5000-9999,融资创业公司,1,104
20020,涛市,女,无相关经验,非全日制,硕士,工程学,<1,1000-4999,其他,>4,74
33505,凤兰县,其他,有相关经验,无,博士,医学,4,100-500,非政府组织,4,73
97118,浩市,其他,有相关经验,非全日制,本科,艺术学,4,10000+,其他,1,24
68933,琳县,其他,无相关经验,无,高中,经济学,3,100-500,融资创业公司,3,117
90307,广州县,男,有相关经验,全日制,专科,理学,1,100-500,其他,1,327
22516,马鞍山市,女,无相关经验,无,硕士,文学,8,500-999,融资创业公司,2,198
60710,秀荣县,其他,无相关经验,无,博士,历史学,5,10-49,早期创业公司,从未,233
89368,岩县,其他,无相关经验,无,硕士,历史学,18,50-99,融资创业公司,4,231
72666,凤英市,其他,有相关经验,全日制,专科,理学,6,500-999,其他,1,76
59707,太原市,男,有相关经验,非全日制,专科,教育学,9,1000-4999,公共部门,从未,157
73709,哈尔滨市,男,有相关经验,全日制,专科,医学,9,<10,早期创业公司,>4,150
40681,利县,女,无相关经验,全日制,硕士,教育学,7,500-999,公共部门,1,44
84591,红霞市,其他,有相关经验,无,本科,文学,18,10-49,公共部门,3,87
9592,嘉禾市,其他,有相关经验,无,博士,哲学,17,500-999,公共部门,3,222
87642,嘉禾县,男,有相关经验,全日制,博士,其他,16,<10,其他,1,74
56375,南京县,其他,无相关经验,全日制,本科,哲学,13,5000-9999,非政府组织,4,252
79698,桂芝市,男,无相关经验,全日制,博士,艺术学,4,10000+,融资创业公司,3,129
16773,丹丹市,女,无相关经验,非全日制,博士,无主修,8,50-99,其他,>4,74
22236,齐齐哈尔市,男,无相关经验,全日制,本科,经济学,14,<10,非政府组织,3,264
18791,大冶市,男,无相关经验,无,博士,医学,15,5000-9999,公共部门,1,153
3057,辛集县,其他,无相关经验,非全日制,专科,经济学,2,5000-9999,非政府组织,1,122
87991,畅市,其他,有相关经验,非全日制,高中,教育学,13,5000-9999,其他,4,75
42480,长春县,女,无相关经验,无,高中,管理学,19,5000-9999,其他,>4,120
65958,梅市,其他,无相关经验,非全日制,博士,无主修,20,10-49,融资创业公司,2,285
35140,石家庄市,其他,有相关经验,全日制,本科,工程学,3,1000-4999,公共部门,2,332
58374,萍县,其他,无相关经验,全日制,硕士,哲学,14,10000+,其他,1,140
96914,乌鲁木齐市,男,有相关经验,非全日制,本科,理学,4,10000+,私营公司,1,208
61866,莹市,其他,有相关经验,无,硕士,哲学,13,10-49,公共部门,2,105
72258,惠州市,其他,有相关经验,全日制,博士,艺术学,2,500-999,融资创业公司,2,35
81761,成都县,其他,无相关经验,全日制,硕士,工程学,10,<10,早期创业公司,>4,121
91988,波市,女,无相关经验,全日制,博士,教育学,14,10-49,非政府组织,2,161
98433,桂芳县,男,有相关经验,无,硕士,教育学,4,1000-4999,其他,2,145
5453,莉县,女,有相关经验,非全日制,高中,艺术学,13,10-49,融资创业公司,3,242
88639,兴城县,男,有相关经验,非全日制,本科,理学,7,1000-4999,公共部门,1,12
89699,郑州市,男,无相关经验,无,高中,经济学,20,50-99,非政府组织,从未,224
23608,畅县,女,有相关经验,非全日制,博士,艺术学,6,10000+,私营公司,4,123
46300,成都县,女,无相关经验,全日制,博士,教育学,6,100-500,其他,3,269
73806,嘉禾县,其他,无相关经验,无,专科,文学,11,5000-9999,融资创业公司,4,93
34564,佛山县,女,有相关经验,非全日制,硕士,教育学,10,100-500,非政府组织,2,37
69283,重庆县,男,无相关经验,无,本科,文学,19,1000-4999,私营公司,2,324
43648,六盘水县,女,有相关经验,全日制,高中,管理学,17,100-500,早期创业公司,3,268
92759,兰州县,女,有相关经验,无,博士,经济学,15,<10,其他,4,206
87987,关岭市,其他,有相关经验,非全日制,高中,历史学,17,500-999,融资创业公司,4,241
3556,哈尔滨县,男,无相关经验,非全日制,硕士,艺术学,<1,100-500,公共部门,>4,57
46386,长春市,男,有相关经验,全日制,硕士,历史学,4,500-999,非政府组织,3,114
62906,张家港县,女,有相关经验,非全日制,博士,哲学,6,50-99,其他,1,7
2675,宜都市,其他,有相关经验,非全日制,本科,文学,5,50-99,私营公司,3,333
77974,西宁市,女,无相关经验,全日制,本科,理学,18,10000+,非政府组织,3,300
55302,乌鲁木齐市,男,有相关经验,全日制,高中,哲学,20,500-999,私营公司,1,56
89118,西宁市,其他,有相关经验,无,博士,经济学,7,10-49,其他,从未,255
41397,宇市,女,有相关经验,无,本科,其他,2,10-49,非政府组织,3,125
23521,健市,其他,有相关经验,非全日制,高中,无主修,6,100-500,融资创业公司,4,122
71208,浩县,女,有相关经验,全日制,专科,无主修,15,10-49,非政府组织,3,195
95816,深圳县,女,无相关经验,全日制,硕士,理学,5,500-999,公共部门,>4,297
80898,桂芝县,女,无相关经验,无,高中,教育学,5,50-99,早期创业公司,3,200
21525,海口市,其他,有相关经验,无,硕士,管理学,10,10-49,私营公司,2,250
83283,林县,其他,无相关经验,无,本科,经济学,12,<10,私营公司,3,26
13318,玉市,女,无相关经验,非全日制,专科,教育学,<1,10-49,私营公司,1,172
41689,利市,男,有相关经验,全日制,本科,历史学,>20,10000+,公共部门,>4,304
28740,帅市,男,有相关经验,非全日制,本科,教育学,12,1000-4999,公共部门,>4,183
40741,小红市,女,无相关经验,非全日制,硕士,艺术学,5,10000+,其他,从未,106
19865,桂香县,女,无相关经验,非全日制,本科,医学,3,10-49,融资创业公司,3,59
77408,宁德县,女,无相关经验,无,硕士,文学,12,1000-4999,非政府组织,>4,271
43725,兰英县,女,无相关经验,非全日制,博士,工程学,1,500-999,私营公司,2,173
78118,六盘水县,其他,无相关经验,全日制,本科,工程学,13,100-500,其他,从未,286
9480,佛山县,男,无相关经验,全日制,硕士,历史学,18,100-500,融资创业公司,>4,48
86704,西安市,女,无相关经验,无,本科,教育学,4,5000-9999,公共部门,1,136
20362,北京市,男,无相关经验,无,硕士,理学,13,10-49,公共部门,3,174
52807,丽丽县,男,有相关经验,无,高中,其他,8,10-49,私营公司,从未,27
30868,阳县,其他,有相关经验,非全日制,博士,其他,<1,10000+,私营公司,1,333
21124,南昌市,女,有相关经验,无,硕士,哲学,11,5000-9999,私营公司,2,99
17275,桂花市,男,无相关经验,全日制,博士,艺术学,14,100-500,融资创业公司,3,275
47038,柳市,男,有相关经验,无,本科,哲学,<1,5000-9999,非政府组织,>4,329
48777,浩县,其他,有相关经验,非全日制,高中,无主修,15,<10,其他,1,49
4912,军县,其他,有相关经验,全日制,高中,医学,4,50-99,公共部门,>4,48
48335,长春县,男,有相关经验,非全日制,硕士,理学,8,1000-4999,非政府组织,1,221
65089,香港市,女,无相关经验,全日制,本科,工程学,3,500-999,早期创业公司,从未,19
41346,太原市,男,有相关经验,全日制,本科,理学,7,<10,早期创业公司,2,324
30598,六安市,其他,无相关经验,全日制,硕士,其他,10,10000+,私营公司,3,150
41381,郑州县,女,无相关经验,全日制,专科,管理学,2,1000-4999,公共部门,>4,248
7013,兰州县,男,无相关经验,无,高中,医学,4,100-500,早期创业公司,4,327
21736,洁县,女,有相关经验,无,硕士,工程学,8,5000-9999,融资创业公司,从未,240
8390,关岭县,其他,有相关经验,非全日制,专科,无主修,6,100-500,私营公司,1,318
92076,梧州市,男,有相关经验,全日制,硕士,无主修,13,1000-4999,早期创业公司,1,138
99013,汕尾市,男,无相关经验,非全日制,专科,医学,9,10000+,私营公司,>4,31
1116,邯郸市,女,有相关经验,非全日制,高中,艺术学,20,5000-9999,早期创业公司,1,25
15021,杰县,男,无相关经验,无,博士,理学,2,10-49,非政府组织,2,50
56736,关岭县,其他,无相关经验,全日制,高中,工程学,9,1000-4999,公共部门,4,116
75706,晨县,其他,无相关经验,无,硕士,历史学,>20,1000-4999,私营公司,2,191
45163,文县,其他,有相关经验,全日制,高中,历史学,15,1000-4999,私营公司,4,74
55949,兰州县,其他,有相关经验,非全日制,专科,医学,8,1000-4999,公共部门,从未,131
89514,超市,女,无相关经验,全日制,本科,教育学,13,<10,早期创业公司,1,272
89158,玲县,女,有相关经验,非全日制,本科,教育学,7,100-500,其他,3,184
29338,大冶县,其他,有相关经验,无,专科,历史学,11,10-49,早期创业公司,1,286
5042,刚县,其他,有相关经验,全日制,高中,文学,3,500-999,非政府组织,从未,93
98071,秀梅市,男,无相关经验,无,专科,其他,<1,500-999,早期创业公司,2,271
47241,娟市,男,无相关经验,全日制,博士,工程学,17,1000-4999,融资创业公司,3,105
72013,澳门县,其他,无相关经验,全日制,高中,历史学,>20,10-49,融资创业公司,4,18
86369,银川县,其他,无相关经验,无,博士,理学,12,5000-9999,早期创业公司,4,238
55769,军市,其他,无相关经验,全日制,硕士,管理学,1,5000-9999,早期创业公司,4,186
74702,帆市,男,有相关经验,全日制,高中,教育学,9,100-500,其他,1,200
80000,六盘水县,女,有相关经验,非全日制,博士,文学,1,500-999,非政府组织,4,30
43527,沈阳县,女,无相关经验,无,博士,医学,3,1000-4999,私营公司,3,259
7921,福州县,女,有相关经验,全日制,博士,理学,4,5000-9999,其他,4,85
86304,秀芳县,其他,无相关经验,无,高中,其他,2,10-49,其他,1,205
9643,峰县,其他,无相关经验,非全日制,博士,管理学,>20,10000+,私营公司,>4,217
10897,金凤市,女,无相关经验,非全日制,本科,哲学,3,5000-9999,融资创业公司,2,214
11684,西宁县,男,无相关经验,全日制,本科,工程学,19,50-99,非政府组织,3,203
72815,红梅县,其他,无相关经验,全日制,本科,其他,6,10-49,公共部门,从未,174
14097,济南县,其他,有相关经验,无,高中,教育学,<1,10-49,其他,从未,84
30744,张家港县,女,无相关经验,无,高中,其他,8,5000-9999,融资创业公司,1,250
54610,兴城市,女,有相关经验,全日制,博士,哲学,12,1000-4999,融资创业公司,从未,202
24618,海门县,女,无相关经验,全日制,本科,哲学,7,<10,私营公司,从未,310
11680,梧州县,女,无相关经验,无,博士,艺术学,20,<10,融资创业公司,>4,112
98125,玉英市,男,有相关经验,无,硕士,其他,13,10-49,非政府组织,2,81
8406,宇市,女,有相关经验,无,本科,其他,19,10-49,早期创业公司,1,42
15345,台北市,男,无相关经验,非全日制,专科,理学,2,100-500,私营公司,从未,295
59867,芳县,其他,有相关经验,非全日制,硕士,艺术学,9,50-99,非政府组织,1,61
81924,六盘水县,其他,有相关经验,全日制,硕士,艺术学,6,10000+,私营公司,2,250
99401,建华县,男,有相关经验,无,硕士,艺术学,1,1000-4999,其他,3,73
35459,涛县,女,有相关经验,无,专科,文学,18,1000-4999,其他,4,14
84888,旭县,其他,有相关经验,非全日制,专科,工程学,7,50-99,融资创业公司,从未,272
96601,亮县,男,有相关经验,非全日制,专科,文学,<1,<10,私营公司,>4,302
86128,沈阳县,其他,有相关经验,非全日制,博士,经济学,6,10-49,私营公司,从未,307
92983,玉英县,女,有相关经验,非全日制,本科,哲学,10,1000-4999,其他,1,198
8410,太原市,男,有相关经验,全日制,硕士,无主修,18,10000+,其他,4,310
43866,呼和浩特县,女,无相关经验,非全日制,博士,其他,12,500-999,非政府组织,1,33
51694,大冶县,女,无相关经验,无,专科,医学,7,10-49,私营公司,2,162
61135,玲县,男,有相关经验,非全日制,专科,医学,10,50-99,融资创业公司,3,137
34461,西宁县,男,无相关经验,无,高中,工程学,2,10000+,融资创业公司,2,115
95724,台北市,女,无相关经验,非全日制,专科,教育学,7,100-500,融资创业公司,3,68
8964,佳县,其他,有相关经验,全日制,专科,无主修,13,50-99,公共部门,2,130
57518,昆明市,其他,有相关经验,非全日制,硕士,管理学,1,50-99,私营公司,1,173
88460,郑州县,女,无相关经验,全日制,本科,工程学,20,500-999,私营公司,3,278
72860,大冶市,女,有相关经验,非全日制,专科,文学,8,<10,其他,4,135
56862,呼和浩特市,女,有相关经验,全日制,本科,文学,9,10-49,其他,4,292
5392,璐市,女,无相关经验,非全日制,专科,历史学,10,5000-9999,其他,>4,303
29901,通辽县,女,有相关经验,非全日制,专科,理学,5,100-500,早期创业公司,2,176
61833,华市,其他,无相关经验,无,高中,无主修,8,1000-4999,早期创业公司,2,320
90079,涛县,女,无相关经验,全日制,高中,无主修,14,10000+,私营公司,4,239
37104,宁县,男,无相关经验,无,本科,其他,9,10-49,公共部门,4,140
94860,淑英市,男,有相关经验,全日制,博士,医学,13,1000-4999,公共部门,>4,21
49056,台北市,其他,无相关经验,全日制,博士,其他,3,100-500,私营公司,4,313
12995,瑜县,男,有相关经验,全日制,高中,艺术学,18,500-999,早期创业公司,从未,78
27572,东莞市,女,无相关经验,全日制,硕士,工程学,12,100-500,其他,>4,135
72769,俊县,其他,有相关经验,全日制,博士,文学,18,100-500,非政府组织,1,330
1076,秀梅市,其他,无相关经验,全日制,高中,教育学,5,<10,其他,3,261
17503,雷市,其他,有相关经验,非全日制,专科,哲学,>20,<10,私营公司,1,22
48102,台北市,女,无相关经验,非全日制,本科,艺术学,15,10000+,私营公司,>4,33
76376,澳门市,女,有相关经验,非全日制,高中,工程学,3,100-500,其他,>4,193
76451,建华市,其他,无相关经验,非全日制,本科,医学,14,5000-9999,私营公司,3,100
47073,平县,其他,无相关经验,非全日制,本科,历史学,4,<10,私营公司,>4,130
54683,冬梅县,男,无相关经验,全日制,博士,管理学,2,10000+,公共部门,2,183
34991,俊市,其他,无相关经验,非全日制,高中,哲学,11,500-999,公共部门,4,323
6273,艳县,女,无相关经验,全日制,本科,文学,13,1000-4999,其他,从未,318
72926,大冶市,男,无相关经验,无,博士,无主修,<1,5000-9999,非政府组织,4,3
45682,瑜县,其他,无相关经验,无,博士,工程学,1,10-49,早期创业公司,1,128
11641,晨市,其他,无相关经验,全日制,专科,文学,4,10000+,公共部门,从未,128
95895,建市,女,无相关经验,非全日制,专科,经济学,1,10-49,早期创业公司,2,133
50086,伟县,女,无相关经验,全日制,高中,管理学,<1,100-500,其他,>4,297
93504,佛山市,男,无相关经验,无,硕士,管理学,3,1000-4999,早期创业公司,1,185
11118,兰州市,男,无相关经验,全日制,硕士,无主修,1,50-99,私营公司,3,124
12506,淑英县,女,有相关经验,非全日制,硕士,文学,4,100-500,其他,3,294
26967,晨市,男,无相关经验,非全日制,高中,历史学,1,50-99,早期创业公司,4,166
52570,合山市,女,有相关经验,无,博士,工程学,8,5000-9999,早期创业公司,>4,128
75854,乌鲁木齐市,其他,无相关经验,非全日制,本科,工程学,8,100-500,私营公司,从未,283
33272,桂花县,女,有相关经验,无,本科,哲学,1,500-999,其他,4,190
97379,武汉市,其他,有相关经验,无,专科,理学,11,50-99,融资创业公司,4,244
24933,永安县,其他,无相关经验,全日制,硕士,经济学,13,10000+,非政府组织,从未,330
45068,荣市,女,有相关经验,非全日制,博士,理学,3,5000-9999,非政府组织,2,75
88960,艳市,其他,有相关经验,全日制,博士,经济学,10,10-49,非政府组织,从未,220
88755,俊县,男,无相关经验,非全日制,专科,教育学,16,1000-4999,非政府组织,4,110
78809,英市,其他,无相关经验,非全日制,本科,工程学,4,100-500,融资创业公司,1,231
97091,通辽市,男,无相关经验,全日制,专科,理学,11,50-99,融资创业公司,1,269
40653,杰县,其他,无相关经验,无,本科,经济学,5,5000-9999,其他,3,144
95202,济南市,其他,有相关经验,无,本科,教育学,20,100-500,融资创业公司,3,87
27045,飞县,女,无相关经验,无,专科,哲学,17,10-49,其他,3,85
70097,辛集县,女,有相关经验,非全日制,专科,历史学,2,100-500,公共部门,3,271
94544,广州市,男,无相关经验,全日制,本科,教育学,9,10-49,私营公司,2,140
67333,桂荣县,其他,无相关经验,非全日制,高中,哲学,18,10000+,非政府组织,从未,306
20198,上海县,女,有相关经验,非全日制,专科,无主修,14,100-500,公共部门,1,166
43221,通辽县,女,无相关经验,无,专科,艺术学,6,10-49,非政府组织,3,306
53022,嘉禾市,其他,有相关经验,无,高中,工程学,19,10000+,早期创业公司,>4,211
7462,长沙市,女,无相关经验,全日制,专科,历史学,3,5000-9999,公共部门,4,50
93606,合肥县,其他,无相关经验,无,专科,历史学,17,5000-9999,非政府组织,1,72
41853,拉萨县,男,无相关经验,非全日制,博士,教育学,10,1000-4999,其他,4,61
76960,拉萨市,女,无相关经验,非全日制,博士,工程学,18,<10,公共部门,1,220
51224,海燕市,女,无相关经验,非全日制,专科,无主修,8,50-99,其他,>4,1
30748,乌鲁木齐县,其他,有相关经验,无,专科,无主修,3,10000+,融资创业公司,4,254
37621,广州市,男,有相关经验,全日制,硕士,工程学,6,1000-4999,非政府组织,>4,183
36341,广州市,其他,无相关经验,非全日制,博士,理学,11,500-999,公共部门,3,39
96892,楠市,其他,有相关经验,无,专科,工程学,11,<10,融资创业公司,3,269
55214,林市,女,无相关经验,非全日制,高中,医学,18,100-500,早期创业公司,3,316
51885,海口市,男,无相关经验,无,博士,经济学,5,1000-4999,私营公司,1,311
81785,北京市,男,有相关经验,非全日制,高中,历史学,20,500-999,融资创业公司,2,111
49838,六安市,男,有相关经验,无,博士,艺术学,>20,<10,融资创业公司,3,155
58564,大冶市,其他,无相关经验,全日制,硕士,管理学,16,100-500,早期创业公司,4,118
3959,杭州县,女,无相关经验,全日制,硕士,其他,2,50-99,其他,4,150
14815,平市,女,无相关经验,非全日制,硕士,工程学,15,100-500,其他,>4,114
48337,辽阳市,男,无相关经验,非全日制,本科,教育学,18,<10,私营公司,2,62
71830,沈阳市,其他,有相关经验,非全日制,本科,其他,8,<10,公共部门,2,327
77386,汕尾市,其他,无相关经验,全日制,博士,教育学,13,1000-4999,非政府组织,2,134
46358,贵阳市,女,有相关经验,非全日制,硕士,经济学,<1,500-999,早期创业公司,4,295
34995,淑兰县,女,有相关经验,无,高中,无主修,13,10-49,早期创业公司,从未,169
96590,重庆县,其他,有相关经验,全日制,专科,经济学,9,100-500,融资创业公司,3,47
46036,丹丹县,女,有相关经验,非全日制,博士,医学,12,10000+,非政府组织,>4,227
656,宜都县,女,有相关经验,非全日制,高中,历史学,2,50-99,早期创业公司,1,287
48628,嘉禾县,男,无相关经验,非全日制,本科,历史学,1,500-999,私营公司,>4,227
69186,昆明市,男,无相关经验,非全日制,博士,文学,13,<10,早期创业公司,>4,2
69225,桂兰市,男,无相关经验,全日制,本科,理学,15,10000+,非政府组织,从未,184
77200,建平县,其他,有相关经验,全日制,专科,理学,8,500-999,非政府组织,2,49
30511,建军市,女,无相关经验,非全日制,硕士,无主修,19,10000+,早期创业公司,2,75
49800,俊市,女,有相关经验,无,高中,医学,3,1000-4999,非政府组织,2,175
1538,亮县,男,无相关经验,非全日制,博士,无主修,10,50-99,非政府组织,从未,261
12351,秀荣县,男,有相关经验,无,本科,无主修,12,100-500,融资创业公司,>4,296
47598,东莞县,其他,有相关经验,非全日制,博士,教育学,17,1000-4999,公共部门,>4,104
23243,淑英县,男,无相关经验,全日制,高中,无主修,18,10-49,早期创业公司,>4,248
22040,梧州市,女,有相关经验,全日制,博士,哲学,5,100-500,私营公司,>4,185
21516,佳县,男,无相关经验,全日制,高中,管理学,8,<10,早期创业公司,3,125
84064,秀芳市,男,有相关经验,非全日制,专科,文学,6,1000-4999,公共部门,2,199
26583,长春县,女,有相关经验,非全日制,博士,文学,1,500-999,其他,4,287
52781,淑华县,女,有相关经验,无,本科,教育学,12,500-999,公共部门,3,72
46846,柳市,其他,有相关经验,无,博士,其他,9,10000+,其他,1,280
86715,乌鲁木齐市,其他,有相关经验,全日制,专科,艺术学,16,50-99,公共部门,从未,247
31509,乌鲁木齐市,其他,无相关经验,全日制,硕士,其他,20,10-49,其他,2,311
40591,文市,其他,有相关经验,全日制,高中,理学,17,1000-4999,融资创业公司,4,203
40482,辛集县,女,无相关经验,非全日制,本科,工程学,>20,100-500,私营公司,1,214
23385,西安县,女,无相关经验,无,高中,经济学,4,10000+,融资创业公司,>4,185
63867,上海县,男,无相关经验,非全日制,本科,教育学,15,1000-4999,融资创业公司,从未,322
58337,呼和浩特市,男,有相关经验,非全日制,博士,艺术学,16,100-500,公共部门,2,107
72131,西宁县,女,有相关经验,全日制,硕士,文学,11,10000+,早期创业公司,2,129
79784,琴市,男,有相关经验,无,专科,文学,3,100-500,融资创业公司,>4,189
88292,玉兰县,女,有相关经验,无,专科,艺术学,19,<10,公共部门,从未,88
92675,荆门市,其他,有相关经验,全日制,博士,艺术学,10,500-999,私营公司,4,253
940,合肥县,其他,无相关经验,非全日制,专科,历史学,18,10-49,其他,4,113
70704,凯市,男,无相关经验,全日制,硕士,工程学,18,500-999,私营公司,3,89
6999,俊县,男,无相关经验,非全日制,博士,哲学,<1,1000-4999,私营公司,1,68
43720,金凤县,男,有相关经验,全日制,专科,管理学,15,1000-4999,非政府组织,1,110
70581,桂英市,男,有相关经验,非全日制,硕士,其他,13,100-500,公共部门,2,262
32766,西宁市,女,无相关经验,全日制,专科,理学,19,500-999,非政府组织,>4,246
24029,澳门市,男,有相关经验,全日制,博士,经济学,>20,100-500,融资创业公司,4,207
17008,汕尾市,女,无相关经验,无,专科,艺术学,8,10-49,早期创业公司,1,26
60231,贵阳县,男,有相关经验,无,专科,哲学,18,<10,非政府组织,1,205
75705,辛集县,女,有相关经验,无,本科,无主修,18,500-999,非政府组织,4,63
52067,合肥县,女,有相关经验,无,本科,医学,3,10-49,融资创业公司,从未,253
60261,长沙县,其他,无相关经验,非全日制,高中,教育学,16,10000+,其他,4,204
38508,桂兰县,女,有相关经验,无,博士,教育学,14,<10,公共部门,4,126
14479,建国县,男,有相关经验,无,硕士,无主修,5,10000+,早期创业公司,4,272
3345,乌鲁木齐县,男,无相关经验,无,硕士,文学,1,<10,私营公司,>4,38
50081,琴市,其他,有相关经验,无,高中,管理学,15,1000-4999,非政府组织,4,272
50068,淮安市,女,有相关经验,非全日制,硕士,文学,19,100-500,私营公司,1,175
49302,嘉禾市,男,无相关经验,全日制,本科,医学,3,5000-9999,融资创业公司,>4,168
25079,梧州市,女,无相关经验,无,专科,医学,<1,100-500,公共部门,3,194
79326,哈尔滨县,女,有相关经验,无,本科,管理学,>20,10000+,融资创业公司,4,25
69088,桂兰市,男,有相关经验,全日制,本科,无主修,12,10-49,其他,2,104
