city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
上海市,0.92,男,有相关经验,未入学,本科,理工科,超过20年,,,1年内,36,1.0
宁夏回族自治区,0.7759999999999999,男,无相关经验,未入学,本科,理工科,,50-99人,私营公司,超过4年,47,0.0
山西省,0.624,,无相关经验,全日制课程,本科,理工科,,,,从未,83,0.0
江苏省,0.789,,无相关经验,,本科,商学,少于1年,,私营公司,从未,52,1.0
广西壮族自治区,0.767,男,有相关经验,未入学,硕士,理工科,超过20年,50-99人,融资创业公司,,8,0.0
北京市,0.764,,有相关经验,非全日制课程,本科,理工科,,,,1年内,24,1.0
山西省,0.92,男,有相关经验,未入学,高中,,,50-99人,融资创业公司,1年内,24,0.0
北京市,0.762,男,有相关经验,未入学,本科,理工科,,少于10人,私营公司,超过4年,18,1.0
吉林省,0.92,男,有相关经验,未入学,本科,理工科,,50-99人,私营公司,1年内,46,1.0
四川省,0.92,,有相关经验,未入学,本科,理工科,,10000人以上,私营公司,超过4年,123,0.0
香港特别行政区,0.624,,无相关经验,全日制课程,高中,,,,,从未,32,1.0
江西省,0.92,男,有相关经验,未入学,本科,理工科,,5000-9999人,私营公司,1年内,108,0.0
陕西省,0.913,男,有相关经验,未入学,本科,理工科,超过20年,1000-4999人,私营公司,,23,0.0
西藏自治区,0.624,男,无相关经验,,,,,,,从未,24,0.0
黑龙江省,0.624,,无相关经验,全日制课程,高中,,,,,从未,26,0.0
安徽省,0.926,男,有相关经验,未入学,本科,理工科,,10-49人,私营公司,超过4年,18,0.0
澳门特别行政区,0.92,,有相关经验,未入学,本科,理工科,,50-99人,私营公司,从未,106,0.0
江西省,0.624,,有相关经验,未入学,本科,理工科,,5000-9999人,私营公司,,7,0.0
福建省,0.624,,有相关经验,未入学,本科,理工科,,10000人以上,私营公司,从未,23,1.0
天津市,0.8270000000000001,女,有相关经验,未入学,本科,文学,,,,1年内,132,1.0
天津市,0.843,男,有相关经验,未入学,硕士,理工科,,100-500人,私营公司,1年内,68,0.0
澳门特别行政区,0.926,男,有相关经验,未入学,硕士,理工科,,100-500人,私营公司,,50,0.0
湖北省,0.804,,有相关经验,未入学,硕士,理工科,,,,1年内,48,0.0
江苏省,0.7759999999999999,男,有相关经验,未入学,本科,人文学科,少于1年,1000-4999人,私营公司,1年内,65,0.0
浙江省,0.624,,有相关经验,未入学,本科,理工科,,1000-4999人,私营公司,1年内,13,0.0
上海市,0.855,,无相关经验,未入学,高中,,,,,从未,22,0.0
福建省,0.624,,有相关经验,非全日制课程,本科,理工科,,500-999人,私营公司,1年内,148,1.0
安徽省,0.92,男,有相关经验,未入学,本科,文学,,,,,72,0.0
湖北省,0.887,男,有相关经验,未入学,高中,,,少于10人,私营公司,1年内,8,1.0
上海市,0.624,男,有相关经验,未入学,本科,理工科,,50-99人,融资创业公司,,68,1.0
天津市,0.92,男,有相关经验,未入学,本科,理工科,超过20年,100-500人,私营公司,,40,0.0
陕西省,0.92,男,有相关经验,非全日制课程,本科,理工科,,5000-9999人,私营公司,超过4年,141,0.0
山东省,0.92,女,无相关经验,全日制课程,本科,理工科,,,,1年内,24,0.0
黑龙江省,0.92,女,有相关经验,未入学,本科,理工科,超过20年,100-500人,私营公司,超过4年,82,0.0
河北省,0.91,男,有相关经验,未入学,本科,商学,,5000-9999人,私营公司,,145,0.0
台湾省,0.92,男,有相关经验,未入学,本科,理工科,,10-49人,初创公司,,206,0.0
河南省,0.926,男,无相关经验,非全日制课程,高中,,,10000人以上,其他,1年内,152,0.0
江苏省,0.926,男,有相关经验,未入学,博士,理工科,超过20年,100-500人,私营公司,,42,1.0
贵州省,0.92,,无相关经验,未入学,本科,理工科,,,,,50,0.0
山西省,0.884,男,无相关经验,未入学,,,,,,从未,106,0.0
黑龙江省,0.926,女,有相关经验,全日制课程,硕士,理工科,,1000-4999人,公共部门,,14,0.0
重庆市,0.924,男,有相关经验,未入学,高中,,,10-49人,私营公司,,36,0.0
黑龙江省,0.624,,有相关经验,未入学,硕士,理工科,,50-99人,初创公司,1年内,112,1.0
山西省,0.6659999999999999,,无相关经验,未入学,本科,无专业,,50-99人,私营公司,从未,108,0.0
海南省,0.624,男,有相关经验,非全日制课程,硕士,理工科,,5000-9999人,私营公司,,7,1.0
香港特别行政区,0.624,女,无相关经验,全日制课程,硕士,理工科,,,,从未,26,1.0
香港特别行政区,0.624,男,有相关经验,未入学,本科,理工科,,100-500人,私营公司,从未,87,1.0
宁夏回族自治区,0.92,其他,有相关经验,未入学,本科,理工科,,10000人以上,公共部门,,52,1.0
吉林省,0.5579999999999999,男,有相关经验,未入学,本科,无专业,,,,超过4年,20,1.0
