id,city,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,is_through
89374,上海市,女,有相关经验,非全日制,硕士,理学,10,50-99,非政府组织,2,112,是
93933,广东省,,有相关经验,非全日制,专科,文学,12,10-49,其他,2,114,否
92669,陕西省,男,有相关经验,非全日制,硕士,文学,12,50-99,非政府组织,1,89,否
34254,浙江省,男,有相关经验,全日制,专科,医学,13,50-99,公共部门,从未,26,否
64132,黑龙江省,女,有相关经验,全日制,本科,医学,2,10-49,融资创业公司,从未,110,否
4412,广东省,男,无相关经验,非全日制,本科,教育学,10,<10,融资创业公司,1,43,否
30193,甘肃省,女,有相关经验,全日制,高中,文学,11,10-49,私营公司,2,81,否
33369,湖北省,男,有相关经验,全日制,专科,理学,11,50-99,融资创业公司,1,44,否
42742,西藏自治区,女,有相关经验,无,专科,医学,1,50-99,其他,2,117,否
37788,安徽省,女,有相关经验,非全日制,本科,理学,8,100-500,非政府组织,1,122,是
43790,新疆维吾尔自治区,女,有相关经验,无,本科,教育学,11,10-49,融资创业公司,2,52,否
12254,浙江省,男,有相关经验,全日制,专科,工程学,16,50-99,其他,1,205,否
61446,北京市,女,有相关经验,全日制,高中,经济学,17,100-500,私营公司,1,167,否
98518,云南省,男,无相关经验,全日制,本科,教育学,7,10-49,早期创业公司,1,102,否
46212,西藏自治区,男,有相关经验,非全日制,本科,艺术学,19,50-99,公共部门,1,144,否
10930,澳门特别行政区,,有相关经验,全日制,硕士,管理学,3,<10,非政府组织,2,72,否
51384,江苏省,,无相关经验,全日制,硕士,经济学,18,50-99,非政府组织,2,133,否
97232,澳门特别行政区,,有相关经验,非全日制,本科,艺术学,15,50-99,非政府组织,2,153,否
60672,四川省,女,无相关经验,非全日制,本科,工程学,13,50-99,融资创业公司,1,117,否
11093,广东省,女,有相关经验,全日制,专科,哲学,8,10-49,融资创业公司,1,1,否
66238,安徽省,,有相关经验,全日制,本科,无主修,13,10-49,融资创业公司,从未,211,否
50539,贵州省,,无相关经验,全日制,硕士,医学,12,50-99,公共部门,1,83,否
7917,福建省,女,有相关经验,无,本科,医学,15,100-500,公共部门,2,54,否
13101,山西省,女,有相关经验,全日制,硕士,教育学,15,10-49,早期创业公司,1,162,否
99172,江苏省,女,有相关经验,非全日制,硕士,医学,12,100-500,私营公司,2,56,否
64940,河南省,,有相关经验,无,本科,管理学,14,50-99,其他,2,67,否
24619,河北省,,有相关经验,非全日制,高中,理学,16,50-99,非政府组织,2,28,否
38592,山东省,,有相关经验,无,专科,艺术学,12,100-500,私营公司,1,88,否
55101,台湾省,女,有相关经验,无,高中,经济学,11,<10,融资创业公司,1,68,否
25551,山东省,女,有相关经验,非全日制,高中,管理学,9,100-500,早期创业公司,1,105,否
46824,天津市,男,有相关经验,非全日制,高中,理学,3,50-99,公共部门,1,184,否
47428,青海省,女,有相关经验,全日制,专科,经济学,15,50-99,早期创业公司,3,185,否
41361,河北省,女,有相关经验,全日制,本科,教育学,15,50-99,私营公司,从未,94,否
156,河南省,男,有相关经验,非全日制,专科,文学,11,10-49,早期创业公司,2,144,否
7040,河北省,,有相关经验,全日制,专科,医学,11,50-99,融资创业公司,从未,117,否
55023,上海市,,有相关经验,非全日制,专科,医学,14,50-99,早期创业公司,2,144,否
91114,天津市,女,有相关经验,全日制,专科,教育学,11,10-49,早期创业公司,从未,114,否
3484,澳门特别行政区,,有相关经验,全日制,本科,管理学,19,10-49,私营公司,2,70,否
24816,新疆维吾尔自治区,男,有相关经验,无,专科,理学,6,10-49,早期创业公司,2,46,否
85621,吉林省,男,无相关经验,全日制,专科,理学,2,10-49,早期创业公司,从未,136,否
95749,内蒙古自治区,女,有相关经验,全日制,专科,医学,12,10-49,公共部门,从未,91,否
13191,香港特别行政区,男,有相关经验,全日制,硕士,艺术学,16,100-500,融资创业公司,1,47,否
43735,海南省,女,有相关经验,非全日制,专科,历史学,10,50-99,非政府组织,1,106,否
54273,宁夏回族自治区,男,无相关经验,非全日制,本科,医学,>20,10-49,早期创业公司,3,105,否
39661,上海市,男,有相关经验,全日制,专科,工程学,10,100-500,私营公司,1,69,否
11146,湖北省,女,有相关经验,非全日制,本科,教育学,4,50-99,非政府组织,1,134,否
62508,西藏自治区,,有相关经验,全日制,专科,教育学,14,100-500,私营公司,1,107,否
80186,广东省,男,有相关经验,全日制,硕士,工程学,8,10-49,融资创业公司,1,48,是
87251,广东省,女,有相关经验,非全日制,专科,管理学,5,50-99,其他,1,82,否
67492,北京市,女,有相关经验,非全日制,本科,教育学,16,10-49,早期创业公司,3,29,否
34723,浙江省,男,有相关经验,全日制,本科,文学,6,10-49,公共部门,4,138,否
83662,香港特别行政区,,有相关经验,无,专科,无主修,7,100-500,私营公司,3,54,否
89842,陕西省,女,有相关经验,全日制,专科,历史学,11,<10,非政府组织,3,130,否
54165,黑龙江省,女,有相关经验,无,硕士,艺术学,8,100-500,其他,1,130,否
73529,四川省,,有相关经验,无,专科,经济学,18,<10,其他,1,113,否
67798,江西省,男,有相关经验,全日制,专科,文学,10,50-99,融资创业公司,从未,52,否
76360,江苏省,女,无相关经验,无,硕士,文学,13,100-500,早期创业公司,3,67,否
6087,新疆维吾尔自治区,女,有相关经验,全日制,专科,理学,12,50-99,融资创业公司,1,113,否
21793,西藏自治区,女,有相关经验,全日制,本科,艺术学,<1,50-99,私营公司,1,115,否
67686,湖南省,女,有相关经验,全日制,本科,文学,9,10-49,融资创业公司,2,44,否
89978,浙江省,男,有相关经验,全日制,本科,医学,10,100-500,非政府组织,2,159,否
64718,青海省,男,有相关经验,全日制,硕士,历史学,<1,100-500,融资创业公司,1,74,否
94415,湖北省,,有相关经验,全日制,本科,医学,9,50-99,公共部门,从未,63,否
10895,甘肃省,男,有相关经验,无,本科,医学,4,10-49,私营公司,2,132,否
72420,云南省,男,有相关经验,非全日制,本科,教育学,11,10-49,其他,1,166,否
27515,澳门特别行政区,女,有相关经验,非全日制,本科,医学,5,50-99,公共部门,从未,74,否
69167,青海省,男,有相关经验,非全日制,专科,工程学,11,100-500,公共部门,1,48,否
3782,重庆市,女,有相关经验,全日制,硕士,历史学,4,50-99,公共部门,2,17,否
35056,台湾省,男,有相关经验,非全日制,专科,教育学,13,<10,公共部门,2,144,否
