enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
8949,西藏自治区,0.92,男,有相关经验,未入学,本科,理工科,超过20年,,,1年内,36,1
29725,辽宁省,0.776,男,无相关经验,未入学,本科,理工科,,50-99人,私营公司,超过4年,47,0
11561,山东省,0.624,,无相关经验,全日制课程,本科,理工科,,,,从未,83,0
33241,广东省,0.789,,无相关经验,,本科,商学,少于1年,,私营公司,从未,52,1
666,吉林省,0.767,男,有相关经验,未入学,硕士,理工科,超过20年,50-99人,融资创业公司,,8,0
21651,河南省,0.764,,有相关经验,非全日制课程,本科,理工科,,,,1年内,24,1
28806,台湾省,0.92,男,有相关经验,未入学,高中,,,50-99人,融资创业公司,1年内,24,0
402,湖北省,0.762,男,有相关经验,未入学,本科,理工科,,少于10人,私营公司,超过4年,18,1
27107,浙江省,0.92,男,有相关经验,未入学,本科,理工科,,50-99人,私营公司,1年内,46,1
699,内蒙古自治区,0.92,,有相关经验,未入学,本科,理工科,,10000人以上,私营公司,超过4年,123,0
29452,黑龙江省,0.624,,无相关经验,全日制课程,高中,,,,,从未,32,1
23853,天津市,0.92,男,有相关经验,未入学,本科,理工科,,5000-9999人,私营公司,1年内,108,0
25619,吉林省,0.913,男,有相关经验,未入学,本科,理工科,超过20年,1000-4999人,私营公司,,23,0
5826,重庆市,0.624,男,无相关经验,,,,,,,从未,24,0
8722,西藏自治区,0.624,,无相关经验,全日制课程,高中,,,,,从未,26,0
6588,广西壮族自治区,0.926,男,有相关经验,未入学,本科,理工科,,10-49人,私营公司,超过4年,18,0
4167,重庆市,0.92,,有相关经验,未入学,本科,理工科,,50-99人,私营公司,从未,106,0
5764,广西壮族自治区,0.624,,有相关经验,未入学,本科,理工科,,5000-9999人,私营公司,,7,0
2156,香港特别行政区,0.624,,有相关经验,未入学,本科,理工科,,10000人以上,私营公司,从未,23,1
11399,香港特别行政区,0.827,女,有相关经验,未入学,本科,文学,,,,1年内,132,1
31972,山东省,0.843,男,有相关经验,未入学,硕士,理工科,,100-500人,私营公司,1年内,68,0
19061,贵州省,0.926,男,有相关经验,未入学,硕士,理工科,,100-500人,私营公司,,50,0
6491,辽宁省,0.804,,有相关经验,未入学,硕士,理工科,,,,1年内,48,0
7041,上海市,0.776,男,有相关经验,未入学,本科,人文学科,少于1年,1000-4999人,私营公司,1年内,65,0
22767,台湾省,0.624,,有相关经验,未入学,本科,理工科,,1000-4999人,私营公司,1年内,13,0
14505,台湾省,0.855,,无相关经验,未入学,高中,,,,,从未,22,0
17139,山东省,0.624,,有相关经验,非全日制课程,本科,理工科,,500-999人,私营公司,1年内,148,1
28476,辽宁省,0.92,男,有相关经验,未入学,本科,文学,,,,,72,0
21538,北京市,0.887,男,有相关经验,未入学,高中,,,少于10人,私营公司,1年内,8,1
10408,安徽省,0.624,男,有相关经验,未入学,本科,理工科,,50-99人,融资创业公司,,68,1
14928,江西省,0.92,男,有相关经验,未入学,本科,理工科,超过20年,100-500人,私营公司,,40,0
22293,山东省,0.92,男,有相关经验,非全日制课程,本科,理工科,,5000-9999人,私营公司,超过4年,141,0
4324,辽宁省,0.92,女,无相关经验,全日制课程,本科,理工科,,,,1年内,24,0
26966,福建省,0.92,女,有相关经验,未入学,本科,理工科,超过20年,100-500人,私营公司,超过4年,82,0
26494,吉林省,0.91,男,有相关经验,未入学,本科,商学,,5000-9999人,私营公司,,145,0
4866,吉林省,0.92,男,有相关经验,未入学,本科,理工科,,10-49人,初创公司,,206,0
12726,湖南省,0.926,男,无相关经验,非全日制课程,高中,,,10000人以上,其他,1年内,152,0
10164,内蒙古自治区,0.926,男,有相关经验,未入学,博士,理工科,超过20年,100-500人,私营公司,,42,1
8612,湖北省,0.92,,无相关经验,未入学,本科,理工科,,,,,50,0
24659,云南省,0.884,男,无相关经验,未入学,,,,,,从未,106,0
2547,山西省,0.926,女,有相关经验,全日制课程,硕士,理工科,,1000-4999人,公共部门,,14,0
13854,香港特别行政区,0.924,男,有相关经验,未入学,高中,,,10-49人,私营公司,,36,0
31654,重庆市,0.624,,有相关经验,未入学,硕士,理工科,,50-99人,初创公司,1年内,112,1
13643,北京市,0.666,,无相关经验,未入学,本科,无专业,,50-99人,私营公司,从未,108,0
5590,内蒙古自治区,0.624,男,有相关经验,非全日制课程,硕士,理工科,,5000-9999人,私营公司,,7,1
22452,山西省,0.624,女,无相关经验,全日制课程,硕士,理工科,,,,从未,26,1
9006,河北省,0.624,男,有相关经验,未入学,本科,理工科,,100-500人,私营公司,从未,87,1
25987,河北省,0.92,其他,有相关经验,未入学,本科,理工科,,10000人以上,公共部门,,52,1
4476,辽宁省,0.558,男,有相关经验,未入学,本科,无专业,,,,超过4年,20,1
