id,city,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,is_through
48770,辽宁省,,无相关经验,无,高中,管理学,6,10-49,私营公司,2,114,否
17068,河北省,,有相关经验,无,专科,无主修,14,100-500,其他,4,4,否
85767,福建省,女,有相关经验,无,专科,管理学,2,50-99,非政府组织,1,268,否
51693,台湾省,男,无相关经验,无,高中,历史学,20,100-500,其他,2,81,否
45237,广东省,女,有相关经验,非全日制,专科,文学,20,<10,非政府组织,4,71,否
3197,湖北省,女,有相关经验,无,本科,理学,11,10-49,公共部门,2,139,是
16118,天津市,,有相关经验,无,本科,管理学,6,10-49,非政府组织,3,104,否
70692,安徽省,,无相关经验,无,本科,无主修,1,50-99,其他,2,270,否
14908,重庆市,女,有相关经验,全日制,硕士,其他,1,10-49,公共部门,1,50,否
31255,福建省,,无相关经验,全日制,高中,无主修,16,<10,公共部门,>4,309,否
21388,吉林省,,无相关经验,非全日制,硕士,医学,4,50-99,融资创业公司,3,315,否
29001,辽宁省,男,无相关经验,无,高中,文学,19,100-500,公共部门,1,190,否
54950,重庆市,,无相关经验,无,专科,哲学,1,<10,公共部门,1,68,否
26571,甘肃省,女,无相关经验,非全日制,硕士,艺术学,2,<10,早期创业公司,3,250,否
61687,安徽省,,有相关经验,非全日制,硕士,教育学,5,<10,融资创业公司,4,38,否
86130,香港特别行政区,男,有相关经验,全日制,硕士,哲学,3,<10,融资创业公司,>4,235,否
18055,湖南省,,无相关经验,全日制,高中,历史学,>20,10-49,其他,从未,195,否
56870,安徽省,男,有相关经验,全日制,硕士,管理学,14,10-49,私营公司,2,295,否
72250,河北省,,无相关经验,无,硕士,哲学,10,<10,早期创业公司,4,17,否
4948,西藏自治区,,有相关经验,无,硕士,工程学,5,<10,融资创业公司,2,2,是
45570,浙江省,,无相关经验,非全日制,硕士,艺术学,1,50-99,早期创业公司,1,222,否
44442,海南省,女,有相关经验,全日制,本科,经济学,7,<10,私营公司,>4,104,否
3425,甘肃省,,无相关经验,无,专科,管理学,12,50-99,早期创业公司,1,305,否
95816,天津市,,有相关经验,非全日制,硕士,工程学,8,<10,融资创业公司,>4,40,是
30375,香港特别行政区,男,有相关经验,非全日制,高中,医学,10,50-99,非政府组织,3,7,否
87793,北京市,,有相关经验,非全日制,硕士,历史学,20,10-49,融资创业公司,>4,156,否
7953,陕西省,,有相关经验,全日制,硕士,文学,14,10-49,融资创业公司,从未,40,否
92599,辽宁省,女,无相关经验,非全日制,高中,其他,10,100-500,早期创业公司,从未,61,否
75693,青海省,,无相关经验,全日制,本科,管理学,14,100-500,非政府组织,1,208,否
20523,河北省,男,无相关经验,全日制,专科,管理学,<1,50-99,公共部门,2,290,否
48511,云南省,,有相关经验,无,高中,哲学,17,<10,融资创业公司,>4,81,否
92431,北京市,男,有相关经验,非全日制,本科,其他,14,50-99,融资创业公司,2,289,否
4443,安徽省,男,无相关经验,无,高中,理学,2,<10,融资创业公司,4,127,否
36128,天津市,,有相关经验,非全日制,高中,艺术学,9,<10,其他,4,201,否
53707,吉林省,女,有相关经验,无,硕士,理学,16,50-99,早期创业公司,4,39,是
55413,湖北省,女,有相关经验,全日制,专科,艺术学,8,50-99,融资创业公司,3,25,否
24078,重庆市,,无相关经验,无,本科,艺术学,<1,100-500,其他,1,227,否
85904,山东省,女,有相关经验,无,专科,经济学,12,10-49,早期创业公司,1,78,否
46217,山东省,男,有相关经验,全日制,专科,工程学,2,50-99,非政府组织,1,273,否
70007,浙江省,,有相关经验,无,硕士,哲学,18,10-49,融资创业公司,1,198,否
15767,山东省,女,有相关经验,全日制,专科,艺术学,4,10-49,非政府组织,4,287,否
17767,山东省,男,有相关经验,全日制,专科,历史学,16,50-99,公共部门,4,165,否
16866,安徽省,,有相关经验,全日制,高中,艺术学,>20,50-99,其他,3,149,否
37533,浙江省,女,无相关经验,无,高中,艺术学,3,100-500,融资创业公司,从未,224,否
35316,广西壮族自治区,男,有相关经验,无,硕士,工程学,20,10-49,公共部门,2,218,是
34717,黑龙江省,,无相关经验,无,专科,管理学,9,50-99,私营公司,3,178,否
52882,内蒙古自治区,女,有相关经验,全日制,硕士,艺术学,13,100-500,私营公司,4,4,否
14339,黑龙江省,,有相关经验,无,本科,其他,3,10-49,公共部门,从未,32,否
49523,广东省,女,无相关经验,非全日制,专科,无主修,10,100-500,融资创业公司,2,40,否
67581,广东省,,无相关经验,全日制,高中,教育学,1,100-500,其他,4,197,否
71162,青海省,,有相关经验,无,本科,工程学,12,100-500,公共部门,>4,242,是
82957,陕西省,,无相关经验,非全日制,硕士,艺术学,8,100-500,私营公司,从未,70,否
86929,广东省,,无相关经验,非全日制,硕士,历史学,9,100-500,私营公司,2,66,否
55627,浙江省,男,无相关经验,非全日制,专科,教育学,11,100-500,其他,从未,141,否
45164,海南省,男,无相关经验,全日制,硕士,工程学,5,<10,其他,>4,257,否
46110,湖北省,男,无相关经验,无,本科,无主修,10,<10,私营公司,4,113,否
41696,四川省,男,有相关经验,无,本科,工程学,10,10-49,早期创业公司,4,239,是
41714,北京市,,有相关经验,非全日制,硕士,理学,5,50-99,融资创业公司,2,61,是
11526,贵州省,女,有相关经验,无,硕士,其他,14,10-49,其他,从未,144,否
86566,黑龙江省,,有相关经验,无,高中,其他,4,50-99,其他,3,76,否
15360,湖北省,男,有相关经验,无,本科,工程学,13,100-500,融资创业公司,从未,119,是
83845,吉林省,男,无相关经验,非全日制,本科,理学,>20,100-500,非政府组织,>4,93,否
28657,江苏省,女,无相关经验,无,高中,其他,6,10-49,早期创业公司,2,315,否
50035,河南省,男,无相关经验,全日制,硕士,医学,17,10-49,早期创业公司,2,269,否
13962,新疆维吾尔自治区,男,无相关经验,非全日制,高中,工程学,11,100-500,融资创业公司,2,291,否
77052,河南省,女,无相关经验,全日制,高中,无主修,8,50-99,融资创业公司,2,322,否
91205,广东省,女,无相关经验,非全日制,本科,工程学,7,10-49,其他,3,17,否
90796,山东省,,有相关经验,无,专科,经济学,15,10-49,公共部门,从未,201,否
24202,浙江省,女,有相关经验,无,硕士,哲学,>20,<10,私营公司,>4,321,否
66974,广西壮族自治区,,有相关经验,全日制,本科,理学,18,<10,私营公司,从未,274,是
79796,湖北省,女,有相关经验,全日制,本科,艺术学,<1,100-500,非政府组织,从未,85,否
69077,河南省,,无相关经验,无,本科,其他,3,100-500,公共部门,2,309,否
20195,广东省,男,无相关经验,全日制,本科,无主修,16,50-99,早期创业公司,2,246,否
42043,吉林省,男,有相关经验,非全日制,高中,医学,13,10-49,公共部门,3,198,否
15358,吉林省,,无相关经验,非全日制,高中,医学,13,100-500,私营公司,3,336,否
1977,江苏省,女,有相关经验,全日制,硕士,哲学,<1,50-99,早期创业公司,2,96,否
97178,贵州省,女,无相关经验,全日制,高中,历史学,13,100-500,私营公司,3,99,否
95412,四川省,,无相关经验,全日制,专科,艺术学,<1,<10,融资创业公司,从未,72,否
84152,海南省,,无相关经验,非全日制,硕士,教育学,<1,50-99,公共部门,4,33,否
23072,天津市,男,无相关经验,无,硕士,医学,19,100-500,公共部门,2,329,否
15213,安徽省,女,无相关经验,无,高中,经济学,4,50-99,非政府组织,2,319,否
8990,黑龙江省,,无相关经验,全日制,高中,其他,4,100-500,私营公司,3,49,否
94527,贵州省,女,无相关经验,非全日制,高中,文学,6,50-99,非政府组织,>4,47,否
95415,江西省,男,有相关经验,全日制,本科,经济学,8,50-99,早期创业公司,1,47,否
87590,重庆市,女,无相关经验,全日制,专科,其他,8,10-49,非政府组织,2,62,否
36105,天津市,男,无相关经验,非全日制,硕士,历史学,>20,<10,其他,3,67,否
39929,西藏自治区,男,无相关经验,非全日制,硕士,艺术学,7,100-500,其他,2,80,否
66149,西藏自治区,男,有相关经验,无,高中,文学,11,50-99,私营公司,3,300,否
35916,重庆市,男,无相关经验,无,本科,管理学,9,<10,非政府组织,从未,129,否
38309,广东省,,有相关经验,非全日制,高中,艺术学,4,10-49,公共部门,4,255,否
34768,黑龙江省,女,有相关经验,全日制,专科,艺术学,18,100-500,其他,4,223,否
9050,陕西省,男,有相关经验,非全日制,硕士,理学,15,<10,公共部门,从未,24,是
97803,新疆维吾尔自治区,男,有相关经验,全日制,本科,哲学,20,100-500,融资创业公司,4,297,否
78170,黑龙江省,,有相关经验,全日制,高中,哲学,13,100-500,融资创业公司,>4,110,否
95552,上海市,,无相关经验,全日制,硕士,历史学,14,100-500,早期创业公司,2,170,否
29971,海南省,,有相关经验,非全日制,专科,历史学,11,<10,非政府组织,1,56,否
13667,新疆维吾尔自治区,女,有相关经验,无,本科,哲学,<1,<10,非政府组织,3,238,否
33114,山东省,女,无相关经验,全日制,本科,理学,2,10-49,早期创业公司,4,62,否
49641,四川省,男,无相关经验,全日制,硕士,无主修,3,100-500,公共部门,4,249,否
5382,重庆市,女,有相关经验,全日制,本科,历史学,15,<10,其他,从未,196,否
25236,广东省,,有相关经验,无,硕士,经济学,9,<10,其他,从未,228,否
37128,吉林省,女,有相关经验,无,高中,其他,10,50-99,其他,4,270,否
92682,河南省,,无相关经验,全日制,硕士,管理学,>20,10-49,公共部门,1,251,否
91991,广西壮族自治区,,有相关经验,非全日制,本科,文学,2,<10,公共部门,4,323,否
59866,北京市,女,有相关经验,无,高中,文学,16,100-500,融资创业公司,4,64,否
85162,江苏省,,有相关经验,全日制,高中,管理学,>20,100-500,私营公司,2,170,否
